Country Name,2005,2006,2007,2008,2009,2010
High income,9120.8122,9137.087994,9232.438814,9194.741779,8796.682293,9169.746181
"Hong Kong SAR, China",5878.441848,5882.807601,5907.349305,5883.037742,5950.83754,5973.349278
Honduras,573.402644,583.9439005,634.9474676,656.0618372,624.3574235,617.8563738
Heavily indebted poor countries (HIPC),158.5938543,168.803721,171.2281388,170.8626723,172.9837044,182.7817506
Croatia,3582.246073,3744.468715,3846.674077,3990.29632,3818.422501,3922.310867
Haiti,37.3017096,37.66807237,25.48619659,23.73900775,35.92553046,24.52429403
Hungary,3771.364614,3882.490664,3976.518977,3988.767694,3773.153807,3876.491084
IBRD only,1512.498983,1634.502933,1756.690118,1812.947648,1853.90228,2014.251816
IDA & IBRD total,1275.312625,1373.076577,1468.902795,1509.264971,1539.543922,1667.760687
IDA total,287.8998658,297.9408674,299.9658717,290.9321587,293.6501952,311.3017537
IDA blend,387.8614201,394.1727197,391.0157368,366.5898875,367.3416093,376.8760092
Indonesia,500.6507859,516.0339127,546.153483,570.0604734,593.9429677,635.9852472
IDA only,223.6756241,236.0020414,241.2316597,241.9964398,245.8400193,268.5814493
Isle of Man,,,,,,
India,468.025754,509.2140548,541.7383952,561.2475814,598.4982419,640.3946068
Not classified,,,,,,
Ireland,6241.715574,6351.099111,6218.313404,6340.733045,5947.909489,5927.86868
"Iran, Islamic Rep.",2079.560256,2221.196825,2307.290873,2422.580797,2505.854213,2659.955255
Iraq,836.5190777,981.8521659,782.0504727,769.3652084,863.1092566,1237.039488
Iceland,27988.02968,31328.3868,36852.54489,50063.95433,51259.18763,51439.90869
Israel,6572.199535,6711.229567,7003.24508,7134.002846,6607.887143,6953.276667
Italy,5731.101557,5833.467297,5804.325964,5757.960611,5368.390567,5493.711037
Jamaica,2397.080292,2371.829362,1926.86371,1160.370959,1222.17338,1216.169287
Jordan,1578.315951,1678.865241,1784.729405,1847.639729,1812.205491,1845.338338
Japan,8539.010589,8542.478139,8710.025703,8270.007731,8020.273806,8594.909034
Kazakhstan,4012.073919,4261.212294,4487.28613,4658.571898,4447.324403,4728.011591
Kenya,128.164183,135.8600415,139.4359842,138.8721909,139.7982553,147.8443701
Kyrgyz Republic,1374.307519,1377.433696,1456.229595,1378.720364,1323.723367,1371.721214
Cambodia,66.75026774,80.72590994,100.5851409,114.5936984,127.9303627,144.2824498
Kiribati,,,,,,
St. Kitts and Nevis,,,,,,
"Korea, Rep.",7796.314674,8039.796283,8462.206543,8772.287463,8877.574933,9716.126081
Kuwait,17076.49912,17765.80565,17093.27299,17031.18588,16519.0793,16757.33417
Latin America & Caribbean (excluding high income),1642.123379,1682.155825,1742.1237,1793.771367,1774.548164,1865.339903
Lao PDR,,,,,,
