Country Name,2005,2006,2007,2008,2009,2010
Iceland,18820,18810,18760,18760,18750,18740
Israel,5145,5088,5181,5156,5226,5045
Italy,147360,142030,141620,144572,139824,143278
Jamaica,4670,4670,4640,4490,4490,4440
Jordan,10130,10180,9633,9725,10250,10023
Japan,46920,46710,46500,46280,46090,45930
Kazakhstan,2122860,2118765,2114356,2108514,2107833,2171618
Kenya,270020,270540,270700,270850,272850,273200
Kyrgyz Republic,107450,107311,107286,107272,106173,106119
Cambodia,53560,53550,53550,53550,53550,54550
Kiribati,340,340,340,340,340,340
St. Kitts and Nevis,50,50.1,50.9,51,55,57
"Korea, Rep.",18810,18580,18400,18170,17950,17730
Kuwait,1500,1500,1510,1510,1515,1520
Latin America & Caribbean (excluding high income),6206002.25,6205299.66,6222099.37,6167624.88,6144688.99,6162324.5
Lao PDR,19850,20250,20630,21040,21680,22200
Lebanon,6530,6790,6771,6630,6630,6400
Liberia,15606.6,15909.2,16211.8,16514.4,16817,17119.6
Libya,153850,153850,153850,153850,153850,153510
St. Lucia,109,101,99.3,99.4,99.4,99.4
Latin America & Caribbean,6754603.25,6751138.76,6765855.27,6713541.88,6691049.99,6704841.4
Least developed countries: UN classification,7806864.5,7841394.62,7880803.34,7923406.06,7972606.08,8020222.9
Low income,6210958.55,6236238.06,6259076.17,6278812.28,6315441.39,6352348.9
Liechtenstein,63.8,62.5,61.2,59.9,58.6,57.3
Sri Lanka,25100,24400,23900,25950,26100,26200
Lower middle income,10105147.15,10125428.5,10161543.85,10185143.2,10219578.41,10231142.2
Low & middle income,34861510.02,34887974.13,34948715.33,34929172.44,34980103.3,35114591.7
Lesotho,23270,23070,23290,23620,23390,23260
Late-demographic dividend,15292408.17,15296021.93,15294640.08,15316915.04,15332958.65,15401807.6
Lithuania,28370,27907,26959,26721,26890,27723
Luxembourg,1290,1290,1310,1310,1307,1310.4
Latvia,17340,18550,18390,18250,18330,18050
"Macao SAR, China",,,,,,
St. Martin (French part),,,,,,
Morocco,299890,299460,299600,299810,300026,299883
Monaco,,,,,,
Moldova,24990,24830,24850,24810,24720,24650
Madagascar,408930,408930,408930,408950,408950,408950
Maldives,90,70,70,70,70,69
Middle East & North Africa,3746479,3744975.5,3749248,3725215,3719938.6,3723725.3
Mexico,1065700,1065700,1067000,1033550,1026820,1018070
Marshall Islands,130,130,130,130,130,130
Middle income,28650551.47,28651736.07,28689639.16,28650360.16,28664661.91,28762242.8
North Macedonia,12280,12240,10760,10630,10130,11190
Mali,403920,404660,405970,405510,410454,410510
Malta,93,93,93,93,93,103.3
Myanmar,112630,115970,119840,122770,124410,125260
Middle East & North Africa (excluding high income),1981618,1980800,1984994,1962019,1959574,1963875
Montenegro,5150,5150,5140,5130,5140,5120
Mongolia,1139278,1147273,1146800,1145070,1142700.562,1142100.3
Northern Mariana Islands,30,30,17,17,17,17
Mozambique,385579.3,387795.16,390011.02,392226.88,394442.74,396658.6
Mauritania,396610,396610,396610,396610,396510,397110
