Country Name,2005,2006,2007,2008,2009,2010
Indonesia,226289468,229318262,232374239,235469755,238620554,241834226
IDA only,810355268,829685516,849281094,869106828,889124646,909297040
Isle of Man,80293,81283,82406,83515,84379,84856
India,1147609924,1165486291,1183209471,1200669762,1217726217,1234281163
Not classified,,,,,,
Ireland,4159914,4273591,4398942,4489544,4535375,4560155
"Iran, Islamic Rep.",69762345,70554756,71336476,72120608,72924833,73762519
Iraq,26922279,27448124,27911242,28385739,28973157,29741977
Iceland,296734,303782,311566,317414,318499,318041
Israel,6930100,7053700,7180100,7308800,7485600,7623600
Italy,57969484,58143979,58438310,58826731,59095365,59277417
Jamaica,2740000,2754414,2768229,2781869,2795839,2810464
Jordan,5765639,5991547,6255290,6556473,6893258,7261541
Japan,127773000,127854000,128001000,128063000,128047000,128070000
Kazakhstan,15147029,15308085,15484192,15776938,16092822,16321872
Kenya,36624897,37649039,38705934,39791984,40901798,42030684
Kyrgyz Republic,5162600,5218400,5268400,5318700,5383300,5447900
Cambodia,13273355,13477705,13679953,13883835,14093605,14312205
Kiribati,92319,94341,96531,98760,100928,102930
St. Kitts and Nevis,46852,47333,47769,48178,48599,49011
"Korea, Rep.",48184561,48438292,48683638,49054708,49307835,49554112
Kuwait,2270196,2373661,2504026,2656010,2821041,2991884
Latin America & Caribbean (excluding high income),500875746,507046299,513157641,519213109,525213960,531056827
Lao PDR,5751675,5846075,5944950,6046630,6148621,6249168
Lebanon,4698761,4759760,4767347,4764745,4813026,4953064
Liberia,3218114,3329211,3461911,3607863,3754129,3891357
Libya,5798615,5886874,5974786,6058740,6133987,6197667
St. Lucia,163408,165378,167644,170011,172223,174092
Latin America & Caribbean,556504216,563337657,570091479,576783743,583430021,589932530
Least developed countries: UN classification,743981227,761918122,780000109,798338725,817092371,836378625
Low income,458551278,471833171,485450408,499316731,513320081,527389304
Liechtenstein,34718,34975,35217,35469,35723,35996
Sri Lanka,19544988,19695977,19842044,19983984,20123508,20261738
Lower middle income,2652117955,2695156950,2738371491,2781815342,2825555944,2869900017
Low & middle income,5349238979,5421454926,5493905785,5567161489,5640982842,5715348512
Lesotho,1996115,1989933,1986926,1987130,1990135,1995575
Late-demographic dividend,2114284047,2127728043,2140885484,2154327657,2167824335,2180813069
Lithuania,3322528,3269909,3231294,3198231,3162916,3097282
Luxembourg,465158,472637,479993,488650,497783,506953
Latvia,2238799,2218357,2200325,2177322,2141669,2097555
"Macao SAR, China",482863,493804,504504,515232,526401,538215
St. Martin (French part),34252,35240,36138,36880,37380,37582
Morocco,30455563,30804689,31163670,31536807,31929087,32343384
